youtuber,video_id,cosine_similarity,js_divergence,l1_distance
camillaara,7ov9rEoZusI,1.0,0.0,0.0
camillaara,ziYRMK0BYg4,1.0,0.0,0.0
camillaara,URrynaBZu4w,1.0,0.0,0.0
camillaara,uyzRCUc-iWY,1.0,0.0,0.0
camillaara,KxjiZWDpKXo,1.0,0.0,0.0
camillaara,nKtQNAqKkrw,1.0,0.0,0.0
camillaara,p-73R_jHQH0,1.0,0.0,0.0
camillaara,lQfmZ5cb4pk,1.0,0.0,0.0
camillaara,Zp5XLwqSwUA,1.0,0.0,0.0
camillaara,MauG70_6T-g,1.0,0.0,0.0
camillaara,pCbSHl73uns,1.0,0.0,0.0
camillaara,fI0wGtujtRw,1.0,0.0,0.0
camillaara,yYZ4eYLialo,1.0,0.0,0.0
camillaara,-s2Hk743pUE,1.0,0.0,0.0
camillaara,Bj5kjFIF1ec,1.0,0.0,0.0
camillaara,s07KqftfiSc,1.0,0.0,0.0
camillaara,Y1flxA4Mpbk,1.0,0.0,0.0
camillaara,mC-tAxnoL64,1.0,0.0,0.0
camillaara,6Aao2EKC3mQ,1.0,0.0,0.0
camillaara,fHrInduvAsU,1.0,0.0,0.0
camillaara,h7uYaVCH48o,1.0,0.0,0.0
camillaara,9fsP25uQtm8,1.0,0.0,0.0
camillaara,Tlkth1IgvYM,1.0,0.0,0.0
camillaara,w9k0wk-Eobs,1.0,0.0,0.0
camillaara,8oSslwxWeeM,1.0,0.0,0.0
camillaara,5ZAhrVUH2oM,1.0,0.0,0.0
camillaara,CVJ8-JWUl30,1.0,0.0,0.0
camillaara,4qHfzlZwTkI,1.0,0.0,0.0
camillaara,1MCOwnH01Jo,1.0,0.0,0.0
camillaara,5v_iit42St4,1.0,0.0,0.0
camillaara,mhO92JBACC8,1.0,0.0,0.0
camillaara,X2iOJspmGYA,1.0,0.0,0.0
camillaara,JnKZIDhYWZo,1.0,0.0,0.0
camillaara,EdPqn7J5D3M,1.0,0.0,0.0
camillaara,D8tSoOFosxc,1.0,0.0,0.0
camillaara,6b2aNgMm7NE,1.0,0.0,0.0
camillaara,eNrQKFgZQo8,1.0,0.0,0.0
stokestwins,MskUZ6E4n9Y,1.0,0.0,0.0
stokestwins,r_mnfK15Uyc,1.0,0.0,0.0
stokestwins,bKrOknHPdtc,1.0,0.0,0.0
stokestwins,jezpvfQSb1E,1.0,0.0,0.0
stokestwins,mdkrBxDVv6c,1.0,0.0,0.0
stokestwins,-5bcG6tZKx8,1.0,0.0,0.0
stokestwins,0COiolDMKU0,1.0,0.0,0.0
stokestwins,Q7-8831uLJw,1.0,0.0,0.0
stokestwins,r4h_uEFwx2k,1.0,0.0,0.0
stokestwins,ntx0THMQt5A,1.0,0.0,0.0
stokestwins,b0VCM0cOq7w,1.0,0.0,0.0
stokestwins,eXosE1wewXg,1.0,0.0,0.0
stokestwins,Oic2_Wb7jgs,1.0,0.0,0.0
stokestwins,eKZG1pMxko4,1.0,0.0,0.0
stokestwins,jsZb5rRAWkY,1.0,0.0,0.0
stokestwins,jO1P7y3eEcU,1.0,0.0,0.0
stokestwins,oTYoUOAubL8,1.0,0.0,0.0
stokestwins,LnVfvz_CJ1o,1.0,0.0,0.0
stokestwins,IFQU7CFDygg,1.0,0.0,0.0
stokestwins,UzyZnvWmQtY,1.0,0.0,0.0
stokestwins,RqKDKaHPPlQ,1.0,0.0,0.0
stokestwins,ylk08T2MZDE,1.0,0.0,0.0
stokestwins,7mBh601vrPw,1.0,0.0,0.0
stokestwins,SV3b20W0sS0,1.0,0.0,0.0
stokestwins,2hi-OduPqco,1.0,0.0,0.0
stokestwins,TzebVGUMrGU,1.0,0.0,0.0
stokestwins,R8IbseAtSP4,1.0,0.0,0.0
stokestwins,sHYlVZXzOCU,1.0,0.0,0.0
stokestwins,wSxZzlKl0-U,1.0,0.0,0.0
stokestwins,ijcZAp6Lt4w,1.0,0.0,0.0
stokestwins,An52a50mVXs,1.0,0.0,0.0
stokestwins,CdowzMS6GM8,1.0,0.0,0.0
stokestwins,s0i6dFCGnFU,1.0,0.0,0.0
stokestwins,psgYshOi9v8,1.0,0.0,0.0
stokestwins,nWo1FhNM_M4,1.0,0.0,0.0
stokestwins,kG489CaPAoM,1.0,0.0,0.0
stokestwins,dRrTj0x8Td4,1.0,0.0,0.0
stokestwins,QNuRfdmYCks,1.0,0.0,0.0
stokestwins,o2YROmFmW7o,1.0,0.0,0.0
stokestwins,XcmZWpQwvGM,1.0,0.0,0.0
stokestwins,bsDTQpvFCF8,1.0,0.0,0.0
stokestwins,_GZkiRzkQjY,1.0,0.0,0.0
stokestwins,P9jqFr3TvSE,1.0,0.0,0.0
stokestwins,fZqoF_jpCZQ,1.0,0.0,0.0
stokestwins,LOxFNSvrU3g,1.0,0.0,0.0
stokestwins,Hh5JHs4j5fI,1.0,0.0,0.0
stokestwins,8ggBYI-F2K0,1.0,0.0,0.0
stokestwins,Vhlwk1HcFdI,1.0,0.0,0.0
stokestwins,u1i_GTpuhUc,1.0,0.0,0.0
stokestwins,1vuCBOXWa2A,1.0,0.0,0.0
stokestwins,URW7XTpR8iM,1.0,0.0,0.0
thetrenchfamily,kk2ftKutvFI,1.0,0.0,0.0
thetrenchfamily,WMJHiyxPy44,1.0,0.0,0.0
